pk,name,type,price,created_at,updated_at
1,Assimilated,Toys,38.69,2021-05-05 18:13:18,2021-05-07 18:13:18 UTC
2,capability,Food,57.76,2021-08-16 07:54:27,2021-08-16 07:54:27 UTC
3,Assimilated,Food,64.09,2021-09-20 07:23:23,2021-09-23 07:23:23 UTC
4,Reduced,Medicine,16.74,2021-06-16 23:07:30,2021-06-16 23:07:30 UTC
5,architecture,Snack,70.05,2021-08-30 23:06:47,2021-09-02 23:06:47 UTC
6,Implemented,Equipment,57.1,2021-07-28 17:14:38,2021-07-30 17:14:38 UTC
7,algorithm,Toys,8.73,2021-07-22 19:01:55,2021-07-25 19:01:55 UTC
8,standardization,Equipment,43.74,2022-02-17 18:37:26,2022-02-19 18:37:26 UTC
9,Optional,Toys,40.75,2022-02-26 00:25:15,2022-03-01 00:25:15 UTC
10,Versatile,Snack,33.88,2022-01-23 21:44:00,2022-01-26 21:44:00 UTC
11,Function-based,Clothes,7.31,2021-06-08 11:02:52,2021-06-09 11:02:52 UTC
12,extranet,Equipment,42.11,2021-11-13 06:48:55,2021-11-13 06:48:55 UTC
13,dedicated,Supplements,58.59,2021-10-07 08:25:33,2021-10-10 08:25:33 UTC
14,array,Bedding,26.69,2021-10-23 08:23:31,2021-10-24 08:23:31 UTC
15,User-friendly,Supplements,51.93,2021-09-11 18:29:11,2021-09-13 18:29:11 UTC
16,maximized,Accessory,9.91,2021-05-11 19:17:11,2021-05-13 19:17:11 UTC
17,Horizontal,Accessory,52.45,2022-01-07 17:42:46,2022-01-08 17:42:46 UTC
18,systemic,Supplements,8.63,2021-04-23 14:14:04,2021-04-24 14:14:04 UTC
19,projection,Equipment,29.54,2021-03-26 08:03:11,2021-03-28 08:03:11 UTC
20,Distributed,Snack,71.93,2021-07-21 23:31:12,2021-07-24 23:31:12 UTC
21,systemic,Clothes,73.96,2021-06-12 08:47:43,2021-06-14 08:47:43 UTC
22,contextually-based,Accessory,66.32,2021-10-19 02:15:12,2021-10-22 02:15:12 UTC
23,context-sensitive,Bedding,45.64,2021-06-19 20:00:29,2021-06-22 20:00:29 UTC
24,Implemented,Snack,2.58,2021-03-16 14:00:32,2021-03-18 14:00:32 UTC
25,capacity,Equipment,15.12,2021-07-21 18:21:56,2021-07-21 18:21:56 UTC
26,Balanced,Supplements,43.12,2021-12-26 01:39:03,2021-12-26 01:39:03 UTC
27,client-driven,Toys,25.14,2021-05-28 03:33:46,2021-05-31 03:33:46 UTC
28,directional,Toys,8.89,2021-10-05 07:14:16,2021-10-08 07:14:16 UTC
29,encoding,Housing,64.08,2021-12-29 09:23:58,2022-01-01 09:23:58 UTC
30,Sharable,Supplements,34.6,2022-01-01 10:00:05,2022-01-03 10:00:05 UTC
31,Diverse,Clothes,53.01,2021-05-06 21:28:11,2021-05-08 21:28:11 UTC
32,knowledge base,Supplements,63.32,2022-02-19 13:21:39,2022-02-22 13:21:39 UTC
33,Networked,Snack,59.45,2021-05-31 05:53:04,2021-06-01 05:53:04 UTC
34,protocol,Food,29.9,2021-05-24 19:30:15,2021-05-24 19:30:15 UTC
35,concept,Housing,2.0,2021-11-05 15:23:14,2021-11-06 15:23:14 UTC
36,protocol,Bedding,55.47,2021-10-19 12:21:35,2021-10-20 12:21:35 UTC
37,eco-centric,Equipment,55.82,2021-12-05 00:15:30,2021-12-07 00:15:30 UTC
38,product,Snack,36.05,2021-12-05 18:46:48,2021-12-05 18:46:48 UTC
39,Cross-platform,Food,2.37,2022-01-27 02:55:42,2022-01-30 02:55:42 UTC
40,high-level,Housing,44.58,2021-08-02 21:08:09,2021-08-04 21:08:09 UTC
41,model,Bedding,21.94,2021-09-07 15:35:14,2021-09-08 15:35:14 UTC
42,incremental,Food,30.04,2021-06-02 21:01:01,2021-06-05 21:01:01 UTC
43,instruction set,Bedding,41.58,2021-09-16 03:09:56,2021-09-19 03:09:56 UTC
44,ability,Medicine,68.97,2022-01-06 08:24:02,2022-01-07 08:24:02 UTC
