pk,profile_id,status,created_at,updated_at
1,83-024-2200,ready for adoption,2021-04-29T14:37:34Z,2021-06-04 14:37:34 UTC
2,97-464-2109,ready for adoption,2021-05-13T08:16:05Z,2021-06-15 08:16:05 UTC
3,26-396-2844,in foster home,2021-03-12T15:07:17Z,2021-03-29 15:07:17 UTC
4,24-519-2007,adopted,2021-08-06T01:11:39Z,2021-09-19 01:11:39 UTC
5,93-019-1410,ready for adoption,2022-02-27T20:00:17Z,2022-05-03 20:00:17 UTC
6,32-935-9997,adopted,2021-10-21T17:17:42Z,2021-12-16 17:17:42 UTC
7,11-180-0976,adopted,2021-11-04T22:00:57Z,2021-11-23 22:00:57 UTC
8,24-153-3363,ready for adoption,2021-11-30T02:05:30Z,2022-02-14 02:05:30 UTC
9,05-154-1654,ready for adoption,2021-01-05T21:17:53Z,2021-03-11 21:17:53 UTC
10,13-199-2707,in foster home,2021-04-10T21:39:06Z,2021-05-02 21:39:06 UTC
11,79-984-1962,adopted,2021-03-20T05:36:11Z,2021-05-13 05:36:11 UTC
12,51-904-3167,in foster home,2021-09-17T09:20:03Z,2021-12-12 09:20:03 UTC
13,52-678-1202,ready for adoption,2021-01-09T07:08:33Z,2021-03-14 07:08:33 UTC
14,56-434-4810,adopted,2021-09-26T11:30:18Z,2021-12-29 11:30:18 UTC
15,91-062-0029,ready for adoption,2021-05-29T19:51:09Z,2021-06-12 19:51:09 UTC
16,08-102-1730,ready for adoption,2022-02-08T21:05:33Z,2022-04-29 21:05:33 UTC
17,47-095-9683,adopted,2021-10-09T17:05:50Z,2021-11-25 17:05:50 UTC
18,12-623-5778,ready for adoption,2021-03-02T08:15:21Z,2021-04-22 08:15:21 UTC
19,73-703-7140,adopted,2021-04-16T07:33:43Z,2021-06-08 07:33:43 UTC
20,43-359-9101,ready for adoption,2021-03-02T05:17:32Z,2021-06-09 05:17:32 UTC
21,89-134-0588,adopted,2021-02-13T02:50:19Z,2021-03-23 02:50:19 UTC
22,37-410-9157,adopted,2021-09-24T00:21:42Z,2021-12-22 00:21:42 UTC
23,92-698-0961,in foster home,2022-01-04T17:04:08Z,2022-04-12 17:04:08 UTC
24,64-533-3996,adopted,2021-04-10T04:15:21Z,2021-06-18 04:15:21 UTC
25,18-773-2014,adopted,2021-09-07T23:30:36Z,2021-10-20 23:30:36 UTC
26,42-288-0238,ready for adoption,2021-12-14T12:16:40Z,2022-03-11 12:16:40 UTC
27,71-303-2299,ready for adoption,2021-01-27T05:42:21Z,2021-04-24 05:42:21 UTC
28,54-864-7023,adopted,2021-09-03T16:32:28Z,2021-09-19 16:32:28 UTC
