pk,purchase_fk,item_fk,quantity
1,15316,272,12
2,22010,395,1
3,18075,680,10
4,5287,12,9
5,3927,334,15
6,17141,87,12
7,13224,216,8
8,22064,368,7
9,23996,105,8
10,14409,101,6
11,28156,896,12
12,3214,471,3
13,24723,197,2
14,27808,18,3
15,27023,978,10
16,15513,510,10
17,17241,851,6
18,1817,110,7
19,256,569,5
20,14938,945,13
21,2556,769,5
22,10556,486,16
23,20082,238,4
24,2474,634,6
25,20303,425,6
26,15653,614,13
27,14387,121,9
28,28059,919,13
29,5505,912,12
30,23372,776,17
31,7964,114,3
32,14031,304,9
33,15436,961,3
34,7360,557,2
35,14736,490,12
36,21611,444,16
37,2711,201,15
38,2292,535,16
39,6380,708,7
40,7709,973,5
41,8545,991,15
42,9952,525,11
43,12220,29,12
44,24801,904,8
45,10754,765,2
46,25873,536,7
47,15812,159,7
48,11903,657,12
49,22794,202,7
50,24212,672,14
51,14228,446,15
52,9301,865,7
53,7319,67,5
54,3121,481,3
55,15211,705,5
56,23224,324,4
57,15100,785,15
58,27506,184,3
59,14352,877,17
60,26345,442,13
61,22665,349,3
62,9639,289,17
63,21709,161,5
64,15961,22,17
65,11869,233,2
66,130,177,5
67,15079,637,11
68,2928,968,6
69,13537,372,7
70,5534,480,6
71,17217,461,9
72,2880,540,6
73,11453,932,17
74,12306,171,9
75,26023,1013,1
76,22158,642,17
77,1157,585,8
78,11533,937,1
79,19583,522,9
80,26744,94,8
81,27691,808,5
82,3483,476,2
83,3313,622,7
84,638,42,2
85,9988,204,4
86,1273,766,17
87,5077,468,2
88,27717,166,10
89,8157,516,5
90,25202,587,16
91,4831,685,17
92,19848,547,16
93,8958,421,4
94,16451,308,3
95,20409,6,7
96,9118,830,17
97,10483,752,6
98,7755,944,10
99,18223,30,8
100,19247,564,6
101,5887,940,4
102,22589,125,14
103,17591,322,4
104,20616,817,15
105,264,136,12
106,14911,196,15
107,13629,967,3
108,12166,875,17
109,2202,120,9
110,28187,753,14
111,27183,76,5
112,7723,377,15
113,20227,342,11
114,19933,113,14
115,10958,500,11
116,600,576,3
117,4412,293,3
118,465,731,5
119,14901,521,1
120,15948,280,8
121,27042,1012,10
122,23217,774,14
123,1226,923,2
124,15922,972,10
125,14567,211,16
126,22362,406,6
127,19375,699,12
128,5510,950,13
129,6126,996,13
130,7739,155,16
131,17990,415,13
132,21400,898,11
133,6919,40,11
134,26033,676,3
135,8249,869,5
136,6776,130,10
137,4054,701,17
138,16507,803,9
139,21484,916,10
140,15668,533,10
141,3759,581,11
142,10305,860,2
143,4844,873,13
144,20290,200,7
145,17723,518,1
146,23631,209,13
147,2022,86,4
148,18051,438,15
149,17252,286,8
150,21129,910,9
151,655,132,14
152,14962,157,4
153,18491,423,14
154,24843,153,10
155,12766,338,15
156,26632,174,6
157,6665,619,6
158,17099,462,3
159,11181,343,8
160,2315,591,2
161,7787,81,3
162,4936,847,15
163,16538,984,5
164,11905,681,8
165,12987,784,15
166,5387,508,14
167,17643,589,4
168,4214,107,16
169,14488,995,7
170,11382,77,6
171,26353,306,1
172,13725,16,8
173,13934,98,1
174,5714,974,4
175,11917,483,16
176,16825,4,15
177,14032,265,12
178,15952,953,3
179,21754,162,1
180,12281,797,16
181,23592,505,2
182,3724,854,17
183,22211,189,6
184,15655,971,14
185,6523,556,15
186,21899,759,12
187,8037,360,15
188,19574,420,1
189,11462,558,17
190,5642,352,6
191,26288,8,6
192,26028,392,6
193,6575,248,10
194,28098,1010,4
195,20625,902,2
196,2976,572,16
197,422,692,12
198,8924,133,16
199,2676,861,17
200,27470,596,1
201,12693,85,12
202,22726,447,15
203,24315,210,9
204,516,393,8
205,17038,880,13
206,8599,323,12
207,15520,846,10
208,4649,506,15
209,25914,891,13
210,13801,698,8
211,20417,926,11
212,1576,463,8
213,21966,872,12
214,27995,356,8
215,2305,605,14
216,21479,975,15
217,6736,361,6
218,3610,990,4
219,17938,380,5
220,8408,778,1
221,24122,592,11
222,15888,989,14
223,24598,288,8
224,9572,573,2
225,9112,669,6
226,15223,478,4
227,8460,650,13
228,22000,501,14
229,14442,519,1
230,23258,118,7
231,9529,814,8
232,3718,620,11
233,24461,662,3
234,15787,719,12
235,12180,707,11
236,4488,740,13
237,11696,607,10
238,25661,358,1
239,3776,142,11
240,24844,696,5
241,17660,250,1
242,24488,1007,12
243,18403,881,10
244,25119,543,12
245,10203,310,2
246,8553,600,5
247,21343,219,4
248,16338,228,4
249,7923,127,1
250,17873,840,1
251,9308,594,13
252,25803,89,17
253,5434,387,4
254,384,402,3
255,27705,96,15
256,23955,764,2
257,25315,1015,8
258,10817,686,15
259,25260,886,2
260,19988,218,6
261,12126,350,15
262,9570,74,12
263,2394,767,17
264,11371,364,2
265,2494,835,4
266,4888,859,3
267,14544,517,14
268,5965,900,13
269,28136,756,17
270,19794,399,17
271,24864,327,11
272,2113,725,1
273,27197,909,12
274,21633,298,8
275,3100,329,11
276,19872,261,2
277,15188,964,15
278,9275,60,1
279,22692,928,10
280,14969,512,13
281,28166,524,10
282,8635,337,4
283,9759,826,7
284,13305,56,5
285,6398,39,6
286,19050,503,3
287,2617,260,13
288,12764,477,2
289,8123,934,3
290,19524,489,6
291,11383,217,10
292,18504,122,11
293,21130,679,9
294,14421,396,1
295,26571,986,11
296,8894,355,1
297,5850,906,17
298,10890,874,16
299,22112,429,7
300,85,203,15
301,8304,404,5
302,2759,82,8
303,4994,36,8
304,24479,729,14
305,2552,311,1
306,5918,419,2
307,22580,624,11
308,24225,646,8
309,23453,613,14
310,13178,924,11
311,20258,206,4
312,22123,691,9
313,16578,711,15
314,26128,2,3
315,20246,333,3
316,5126,454,10
317,18298,17,5
318,25523,602,3
319,23721,51,8
320,24962,458,14
321,23345,292,6
322,21551,353,9
323,8984,351,2
324,17114,215,5
325,7237,176,14
326,16417,552,14
327,22644,434,9
328,17356,185,13
329,21375,9,14
330,13231,588,2
331,23420,182,8
332,22502,374,14
333,7356,546,8
334,8616,842,9
335,3128,418,14
336,19431,523,16
337,1834,920,14
338,4878,21,1
339,12001,754,8
340,9104,175,13
341,18313,951,2
342,15007,95,8
343,23764,807,17
344,19610,362,5
345,18411,236,12
346,23911,824,13
347,14292,782,3
348,20421,384,11
349,26689,321,16
350,19777,604,12
351,13297,509,11
352,237,625,17
353,19303,437,16
354,12988,721,1
355,20387,45,8
356,13185,20,12
357,16727,347,7
358,18417,794,10
359,20296,815,13
360,7302,1003,9
361,28087,550,16
362,9586,457,1
363,16216,755,13
364,1562,34,16
365,7327,400,17
366,24872,981,17
367,6501,106,5
368,2476,35,13
369,12285,472,6
370,18679,597,8
371,26487,871,16
372,16628,574,16
373,9510,659,11
374,17285,492,4
375,14382,181,11
376,17377,213,3
377,23402,230,5
378,3377,734,6
379,28169,194,15
380,12037,578,9
381,307,234,12
382,1078,61,11
383,15182,568,11
384,603,816,11
385,2435,145,14
386,21580,735,1
387,21853,998,8
388,7732,579,15
389,12541,948,2
390,8214,332,3
391,25112,440,4
392,8606,717,6
393,20602,449,12
394,12824,804,1
395,15946,229,12
396,28105,860,15
397,3444,427,8
398,12353,979,3
399,11675,28,13
400,12332,573,11
401,1055,463,8
402,1561,620,17
403,13839,306,2
404,20661,151,6
405,4706,851,12
406,1132,653,7
407,141,832,10
408,7066,326,13
409,4627,780,1
410,4547,90,5
411,16493,323,5
412,11031,576,17
413,20671,1007,9
414,22019,305,4
415,5957,432,10
416,21985,786,15
417,1668,815,16
418,2842,635,12
419,4198,462,13
420,6697,407,8
421,10403,862,1
422,6703,836,12
423,17532,524,13
424,6081,607,9
425,13041,839,1
426,26926,531,9
427,27883,295,9
428,5675,51,4
429,12552,205,14
430,9361,395,16
431,23580,804,6
432,128,421,12
433,27474,656,12
434,1538,105,13
435,873,325,10
436,21602,534,2
437,25158,808,5
438,11940,798,17
439,22138,159,8
440,5646,785,4
441,20983,10,9
442,11746,14,15
443,26304,107,9
444,7601,355,17
445,7122,621,7
446,1331,738,3
447,1975,168,1
448,5624,994,7
449,1202,549,17
450,20474,872,2
451,2647,57,2
452,7809,881,4
453,16885,193,17
454,5862,115,12
455,2275,643,10
456,18252,859,6
457,16459,583,5
458,14810,927,2
459,10090,91,13
460,12959,586,1
461,5671,343,11
462,1355,538,12
463,2675,644,10
464,6540,216,16
465,3511,219,15
466,14505,99,1
467,20060,849,1
468,12035,535,14
469,6943,700,10
470,195,373,2
471,9462,468,1
472,24949,78,1
473,22472,1022,4
474,1793,1008,11
475,5147,502,10
476,23349,641,11
477,16353,697,10
478,18196,48,6
479,9859,25,14
480,26638,763,8
481,26555,760,15
482,20007,1028,8
483,731,253,2
484,20632,472,2
485,12828,314,15
486,10432,894,5
487,27499,494,14
488,3597,239,8
489,8469,949,10
490,3171,217,15
491,14402,206,12
492,27454,218,17
493,23686,823,5
494,19317,514,12
495,13217,442,4
496,16287,489,7
497,3316,973,16
498,22133,284,10
499,17648,619,9
500,3709,340,9
501,13410,1019,14
502,10675,553,4
503,7905,153,1
504,3302,969,4
505,12989,242,7
506,25492,841,16
507,1967,5,15
508,2717,1023,6
509,12869,458,13
510,1169,675,1
511,18678,103,11
512,27446,551,2
513,5559,100,17
514,24761,578,4
515,2338,199,1
516,9186,440,16
517,14223,784,17
518,23850,144,16
