pk,user_fk,status,purchase_amount,tax_amount,total_amount,created_at,updated_at
2,10473,complete,960.54,60.03,1020.57,2021-02-05 19:08:39,2021-02-10 18:40:53 UTC
3,2611,complete,248.12,15.51,263.63,2021-04-13 3:24:21,2021-04-18 09:13:31 UTC
4,10407,complete,1619.41,101.21,1720.62,2021-03-09 8:26:06,2021-03-16 07:30:54 UTC
5,9896,complete,1326.86,82.93,1409.79,2021-02-06 1:29:17,2021-02-17 07:33:47 UTC
6,10427,complete,495.73,30.98,526.71,2021-07-21 18:28:49,2021-07-25 08:56:56 UTC
7,11554,complete,1710.44,106.90,1817.34,2021-12-02 3:06:01,2021-12-09 10:47:36 UTC
8,1870,pending,211.32,13.21,224.53,2021-06-08 3:26:54,2021-06-18 23:57:11 UTC
9,6470,complete,755.38,47.21,802.59,2021-02-20 14:23:47,2021-02-25 13:29:38 UTC
10,13073,complete,1111.65,69.48,1181.13,2021-01-09 21:08:13,2021-01-17 01:17:59 UTC
12,11207,complete,2179.58,136.22,2315.80,2021-10-01 1:58:04,2021-10-15 16:52:32 UTC
13,10611,complete,1190.48,74.41,1264.89,2021-11-05 23:53:14,2021-11-17 16:53:52 UTC
14,12727,complete,519.45,32.47,551.92,2021-12-28 2:45:00,2022-01-09 11:33:52 UTC
15,1755,complete,136.74,8.55,145.29,2021-03-22 11:27:55,2021-03-30 13:57:32 UTC
16,3377,complete,649.37,40.59,689.96,2021-04-27 9:10:24,2021-05-08 06:06:20 UTC
17,4637,complete,1126.31,70.39,1196.70,2021-12-25 4:06:09,2021-12-31 16:31:56 UTC
18,12166,complete,2674.60,167.16,2841.76,2021-02-13 20:37:23,2021-02-24 09:43:47 UTC
19,7358,complete,864.58,54.04,918.62,2022-02-09 6:22:59,2022-02-13 23:38:39 UTC
20,10225,complete,1493.53,93.35,1586.88,2021-09-18 17:27:34,2021-10-01 07:25:34 UTC
21,10517,complete,1055.92,66.00,1121.92,2021-06-23 1:56:38,2021-07-06 02:51:35 UTC
22,6398,complete,99.12,6.20,105.32,2021-08-04 3:50:27,2021-08-17 15:33:15 UTC
23,7622,complete,32.48,2.03,34.51,2021-07-21 6:31:14,2021-07-31 11:36:03 UTC
24,7652,complete,664.04,41.50,705.54,2021-07-23 8:51:43,2021-07-27 17:37:04 UTC
25,13434,complete,816.43,51.03,867.46,2022-03-05 9:24:59,2022-03-08 01:10:21 UTC
26,11419,complete,889.83,55.61,945.44,2021-02-11 10:06:36,2021-02-23 01:27:22 UTC
27,12647,complete,1198.65,74.92,1273.57,2021-06-25 3:54:26,2021-06-29 11:00:44 UTC
28,6271,complete,845.42,52.84,898.26,2021-06-17 20:32:23,2021-06-20 13:59:05 UTC
29,4258,complete,403.10,25.19,428.29,2021-12-10 1:40:17,2021-12-21 14:45:45 UTC
30,4818,complete,1575.16,98.45,1673.61,2021-08-19 0:41:37,2021-08-22 06:59:07 UTC
31,12228,complete,1104.97,69.06,1174.03,2021-11-26 8:27:32,2021-11-30 06:42:44 UTC
34,5147,complete,978.82,61.18,1040.00,2021-07-08 19:52:55,2021-07-18 14:56:48 UTC
35,12745,pending,387.50,24.22,411.72,2021-11-04 21:17:52,2021-11-16 22:39:32 UTC
36,2612,complete,1639.83,102.49,1742.32,2021-09-23 15:30:28,2021-09-27 06:52:34 UTC
37,5938,complete,1267.56,79.22,1346.78,2022-02-01 12:02:59,2022-02-10 13:03:28 UTC
38,4292,complete,1558.75,97.42,1656.17,2021-02-09 9:28:05,2021-02-17 04:50:52 UTC
39,5207,complete,883.59,55.22,938.81,2021-12-20 11:45:35,2021-12-25 20:11:49 UTC
41,12370,complete,814.38,50.90,865.28,2021-06-16 17:19:33,2021-06-28 10:30:21 UTC
42,1300,complete,303.40,18.96,322.36,2021-06-26 21:02:18,2021-07-01 23:15:32 UTC
43,7179,complete,576.95,36.06,613.01,2021-07-08 16:45:54,2021-07-15 21:09:17 UTC
45,5774,pending,97.00,6.06,103.06,2021-12-23 17:26:07,2022-01-06 01:36:30 UTC
46,12496,complete,236.31,14.77,251.08,2021-10-22 1:02:09,2021-10-27 17:19:49 UTC
47,3379,complete,145.15,9.07,154.22,2021-07-05 11:31:10,2021-07-09 07:01:38 UTC
48,6948,complete,1145.81,71.61,1217.42,2021-08-22 16:49:16,2021-09-03 15:01:28 UTC
49,4028,complete,1794.19,112.14,1906.33,2021-03-22 20:18:56,2021-03-29 10:36:09 UTC
50,10372,complete,443.02,27.69,470.71,2021-03-06 13:20:36,2021-03-09 11:51:31 UTC
51,615,complete,1520.83,95.05,1615.88,2021-10-19 11:16:23,2021-10-29 14:04:33 UTC
52,2675,pending,1335.52,83.47,1418.99,2021-04-16 8:19:41,2021-04-29 19:43:49 UTC
53,2166,complete,3190.95,199.43,3390.38,2021-04-12 4:57:04,2021-04-23 13:26:09 UTC
54,12611,complete,1404.36,87.77,1492.13,2021-08-31 9:05:33,2021-09-03 13:51:44 UTC
55,6738,complete,390.36,24.40,414.76,2021-09-24 2:25:58,2021-10-05 01:55:27 UTC
57,11148,complete,501.57,31.35,532.92,2021-10-08 13:06:42,2021-10-12 14:26:45 UTC
58,11353,complete,728.65,45.54,774.19,2021-07-27 1:24:25,2021-08-02 07:25:44 UTC
59,11177,pending,113.89,7.12,121.01,2022-02-19 5:10:50,2022-02-22 16:08:31 UTC
60,5496,complete,725.91,45.37,771.28,2021-03-11 22:09:16,2021-03-23 11:51:17 UTC
61,8055,complete,1618.12,101.13,1719.25,2021-03-25 17:00:40,2021-04-07 22:29:34 UTC
62,11764,complete,881.13,55.07,936.20,2021-12-31 14:37:05,2022-01-03 23:05:42 UTC
63,5211,complete,339.27,21.20,360.47,2021-11-03 7:48:28,2021-11-12 18:48:05 UTC
64,11263,complete,1727.53,107.97,1835.50,2022-01-06 5:28:56,2022-01-20 18:45:20 UTC
65,9350,complete,790.74,49.42,840.16,2021-04-02 6:09:32,2021-04-08 08:52:35 UTC
66,8892,complete,1211.29,75.71,1287.00,2021-07-31 20:13:22,2021-08-11 18:36:24 UTC
67,12149,complete,458.59,28.66,487.25,2021-01-23 19:32:05,2021-01-27 11:38:53 UTC
68,6823,complete,3137.39,196.09,3333.48,2022-03-14 12:29:25,2022-03-19 07:22:44 UTC
69,5053,complete,1372.15,85.76,1457.91,2021-05-07 12:09:22,2021-05-14 23:11:20 UTC
70,3979,complete,1122.90,70.18,1193.08,2021-10-19 3:27:30,2021-10-27 16:09:33 UTC
71,10606,complete,172.08,10.76,182.84,2021-02-13 4:56:50,2021-02-23 01:01:31 UTC
72,9962,complete,76.96,4.81,81.77,2021-07-06 4:32:32,2021-07-08 11:45:41 UTC
73,6747,complete,417.90,26.12,444.02,2021-09-21 11:47:38,2021-10-01 17:11:44 UTC
74,9369,complete,576.60,36.04,612.64,2021-11-15 6:02:51,2021-11-22 19:07:58 UTC
75,10122,complete,4.00,0.25,4.25,2021-01-21 19:41:27,2021-01-24 19:34:15 UTC
76,13090,complete,828.16,51.76,879.92,2021-12-25 19:14:26,2021-12-28 07:54:27 UTC
78,5488,complete,26.90,1.68,28.58,2021-11-02 19:40:13,2021-11-09 04:33:42 UTC
79,9590,complete,1518.54,94.91,1613.45,2021-02-28 5:16:42,2021-03-09 18:44:51 UTC
80,840,complete,331.18,20.70,351.88,2021-08-18 21:00:50,2021-09-01 14:38:17 UTC
81,10905,pending,908.33,56.77,965.10,2021-09-19 20:34:43,2021-10-02 20:15:45 UTC
82,11024,complete,874.15,54.63,928.78,2021-01-26 23:05:33,2021-02-06 23:01:53 UTC
83,8310,complete,258.12,16.13,274.25,2021-05-20 20:21:26,2021-06-01 20:35:42 UTC
84,3793,complete,1622.60,101.41,1724.01,2022-03-01 12:54:58,2022-03-05 16:24:43 UTC
85,1254,complete,1358.93,84.93,1443.86,2021-06-25 7:38:52,2021-07-01 21:32:26 UTC
86,8666,complete,1438.42,89.90,1528.32,2021-01-01 0:36:56,2021-01-03 06:27:44 UTC
